txt,confidence,vertices,boundBox,slopes,width,height,direction,mid_point,crop_idx,Left,Top
NAT,100,"[(247, 900), (300, 900), (300, 923), (247, 923)]","{'Width': 53, 'Height': 23, 'Left': 247, 'Top': 900}","(0.0, -300.0)",23.0,53.0,horizontal,"(273.5, 911.5)","(0, 1)",247,900
STORYTELLIN,100,"[(289, 725), (286, 820), (257, 819), (260, 724)]","{'Width': 32, 'Height': 96, 'Left': 257, 'Top': 724}","(-17.657, 0.019)",29.017236257093817,95.04735661763561,vertical,"(273.0, 772.0)","(0, 1)",257,724
OF,100,"[(289, 699), (288, 721), (260, 720), (261, 698)]","{'Width': 29, 'Height': 23, 'Left': 260, 'Top': 698}","(-12.267, 0.02)",28.0178514522438,22.02271554554524,vertical,"(274.5, 709.5)","(0, 1)",260,698
JOY,100,"[(291, 666), (290, 697), (261, 696), (262, 665)]","{'Width': 30, 'Height': 32, 'Left': 261, 'Top': 665}","(-17.286, 0.019)",29.017236257093817,31.016124838541646,vertical,"(276.0, 681.0)","(0, 1)",261,665
ON,100,"[(292, 608), (291, 631), (262, 630), (263, 607)]","{'Width': 30, 'Height': 24, 'Left': 262, 'Top': 607}","(-12.825, 0.019)",29.017236257093817,23.021728866442675,vertical,"(277.0, 619.0)","(0, 1)",262,607
THE,100,"[(291, 634), (290, 665), (262, 664), (263, 633)]","{'Width': 29, 'Height': 32, 'Left': 262, 'Top': 633}","(-17.286, 0.02)",28.0178514522438,31.016124838541646,vertical,"(276.5, 649.0)","(0, 1)",262,633
CAMP,100,"[(294, 561), (293, 606), (264, 605), (265, 560)]","{'Width': 30, 'Height': 46, 'Left': 264, 'Top': 560}","(-25.092, 0.019)",29.017236257093817,45.0111097397076,vertical,"(279.0, 583.0)","(0, 1)",264,560
VAN,100,"[(295, 525), (294, 557), (265, 556), (266, 524)]","{'Width': 30, 'Height': 33, 'Left': 265, 'Top': 524}","(-17.843, 0.019)",29.017236257093817,32.01562118716424,vertical,"(280.0, 540.5)","(0, 1)",265,524
RICHARD,100,"[(297, 453), (295, 524), (266, 523), (268, 452)]","{'Width': 31, 'Height': 72, 'Left': 266, 'Top': 452}","(-19.795, 0.019)",29.017236257093817,71.02816342831905,vertical,"(281.5, 488.0)","(0, 1)",266,452
GATHER,100,"[(302, 273), (297, 441), (268, 440), (273, 272)]","{'Width': 34, 'Height': 169, 'Left': 268, 'Top': 272}","(-18.735, 0.019)",29.017236257093817,168.07438829280326,vertical,"(285.0, 356.5)","(0, 1)",268,272
PAS,100,"[(312, 977), (345, 977), (345, 988), (312, 988)]","{'Width': 33, 'Height': 11, 'Left': 312, 'Top': 977}","(0.0, -300.0)",11.0,33.0,horizontal,"(328.5, 982.5)","(0, 1)",312,977
808.607,100,"[(313, 954), (389, 955), (389, 968), (313, 967)]","{'Width': 76, 'Height': 14, 'Left': 313, 'Top': 954}","(0.007, -300.0)",13.0,76.00657866263946,horizontal,"(351.0, 961.0)","(0, 1)",313,954
